roi_id,peak_number,frame_index,time_s,dff_value,prominence,left_base,right_base,x0,y0,w,h,x1,y1
3,33,1675,83.75,0.06733668595552444,0.05667108480411304,1664,1679,61,294,37,32,98,326
3,34,1683,84.15,0.08199398219585419,0.09469814240451044,1664,1729,61,294,37,32,98,326
3,35,1720,86.0,0.040518276393413544,0.051601122475724695,1712,1729,61,294,37,32,98,326
3,36,1737,86.85,0.11143100261688232,0.1300263829343232,1012,1800,61,294,37,32,98,326
3,37,1804,90.2,0.09565818309783936,0.12113996069782018,1800,1809,61,294,37,32,98,326
3,38,1816,90.8,0.17412342131137848,0.24265790662630435,1012,1830,61,294,37,32,98,326
3,39,1840,92.0,0.07437390834093094,0.056192646338133756,1830,1846,61,294,37,32,98,326
3,40,1850,92.5,0.087808758020401,0.05160689445024416,1830,1854,61,294,37,32,98,326
3,41,1859,92.95,0.17342813313007355,0.21627236564254926,1830,1998,61,294,37,32,98,326
3,42,1880,94.0,0.12245539575815201,0.050003820692689015,1875,1998,61,294,37,32,98,326
3,43,1898,94.9,0.10593990981578827,0.05767914451883747,1890,1920,61,294,37,32,98,326
3,44,1934,96.7,0.10086829215288162,0.10841966990330948,1920,1998,61,294,37,32,98,326
3,45,1960,98.0,0.04239558055996895,0.05041724961648961,1954,1998,61,294,37,32,98,326
3,46,2003,100.15,0.20687970519065857,0.19643793210376181,1830,2085,61,294,37,32,98,326
3,47,2047,102.35,0.22281664609909058,0.050260576653828354,2034,2058,61,294,37,32,98,326
3,48,2072,103.6,0.19620931148529053,0.06827840788245242,2034,2085,61,294,37,32,98,326
3,49,2210,110.5,0.04327503964304924,0.07541598388060314,2085,2357,61,294,37,32,98,326
3,50,2375,118.75,0.10379120707511902,0.10271529673767257,2085,2396,61,294,37,32,98,326
3,51,2431,121.55,0.16888673603534698,0.17750556862729067,2085,2609,61,294,37,32,98,326
3,52,2529,126.45,0.12226290255784988,0.04935366395452728,2468,2543,61,294,37,32,98,326
3,53,2552,127.6,0.15909330546855927,0.15006636417810396,2468,2573,61,294,37,32,98,326
3,54,2590,129.5,0.17296288907527924,0.16282519724335354,2573,2609,61,294,37,32,98,326
3,55,2685,134.25,0.0983637347817421,0.09923511015859138,2609,2776,61,294,37,32,98,326
3,56,2728,136.4,0.09450254589319229,0.08001135790032161,2697,2776,61,294,37,32,98,326
3,57,2800,140.0,0.0594438798725605,0.09034444290360752,2609,2932,61,294,37,32,98,326
3,58,2838,141.9,0.07020903378725052,0.07889817579244238,2826,2932,61,294,37,32,98,326
3,59,2909,145.45,0.06713797152042389,0.06589189764472747,2896,2932,61,294,37,32,98,326
3,60,2952,147.6,0.0792510136961937,0.09745931873250802,2609,3022,61,294,37,32,98,326
3,61,3093,154.65,0.11898455023765564,0.13208327988818028,2609,3822,61,294,37,32,98,326
3,62,3151,157.55,0.07075583189725876,0.04960566984248784,3132,3208,61,294,37,32,98,326
3,63,3237,161.85,0.07448031008243561,0.08997564076428108,3132,3284,61,294,37,32,98,326
3,64,3315,165.75,0.05019950494170189,0.05329101428262106,3284,3325,61,294,37,32,98,326
3,65,3338,166.9,0.07805731892585754,0.09275988106921162,3284,3389,61,294,37,32,98,326
3,66,3366,168.3,0.07254694402217865,0.04924230137135851,3356,3389,61,294,37,32,98,326
3,67,3400,170.0,0.05837908387184143,0.05601418679670769,3389,3435,61,294,37,32,98,326
3,68,3493,174.65,0.06034736707806587,0.07001255495059104,3389,3566,61,294,37,32,98,326
3,69,3618,180.9,0.057309526950120926,0.08862995976608032,3389,3740,61,294,37,32,98,326
